id_kecamatan,nama_kecamatan,nama_kabupaten,tahun,delta_sawah_hurs,delta_kering_hurs,delta_sawah_mrso,delta_kering_mrso,delta_sawah_pr,delta_kering_pr,delta_sawah_tas,delta_kering_tas
39,Tongauna Utara,Konawe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Napabalano,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Maligano,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Wakorumba Selatan,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Lasalepa,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Batalaiworu,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Katobu,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Duruka,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Lohia,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Watopute,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Kontunaga,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Kabangka,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Kabawo,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Parigi,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Bone,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Tongkuno,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Pasir Putih,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Kontu Kowuna,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Marobo,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tongkuno Selatan,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Pasi Kolaga,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Batukara,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Towea,Muna,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Pasarwajo,Buton,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Kapontori,Buton,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Lasalimu,Buton,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Lasalimu Selatan,Buton,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Siotapina,Buton,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Wolowa,Buton,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Wabula,Buton,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Tinanggea,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Angata,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Andoolo,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Palangga,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Landono,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Lainea,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Konda,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Ranomeeto,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Kolono,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Moramo,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Laonti,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Lalembuu,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Benua,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
